Judul,Link,Tahun,Penulis,Publikasi
Spatial Clustering Regression in Identifying Local Factors in Stunting Cases in Indonesia,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:Ug5p-4gJ2f0C,2025,"UA Syam, A Djuraidah, UD Syafitri","JTAM (Jurnal Teori dan Aplikasi Matematika) 9 (2), 600-614, 2025"
"Spatiotemporal Bayes model for estimating the number of hotspots as an indicator of forest and land fires in Kalimantan Island, Indonesia",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:ruyezt5ZtCIC,2025,"F Rohimahastuti, A Djuraidah, H Wijayanto","Journal of Agrometeorology 27 (1), 27-32, 2025"
Bayesian conditional negative binomial autoregressive model: a case study of stunting on Java Island in 2021,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:tuHXwOkdijsC,2024,"DJ Fitri, A Djuraidah, H Wijayanto","Commun. Math. Biol. Neurosci. 2024, Article ID 18, 2024"
Rainfall modeling with CMIP6-DCPP outputs and local characteristic information using eigenvector spatial filtering varying coefficient (ESF-VC),https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:SpbeaW3--B0C,2024,"D Al Mahkya, A Djuraidah, AH Wigena, B Sartono","Journal of Agrometeorology 26 (3), 311-317, 2024"
"Bias correction and ensemble techniques in statistical downscaling model for rainfall prediction using Tweedie-LASSO in West Java, Indonesia",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:i2xiXl-TujoC,2024,"D Dewanti, A Djuraidah, B Sartono, A Sopaheluwakan","Journal of Agrometeorology 26 (3), 324-330, 2024"
A-Optimal pada Mixture Amount Design dengan modifikasi rancangan petak terbagi menggunakan Algoritma point-exchange,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:tYavs44e6CUC,2024,"MDP Sari, UD Syafitri, A Djuraidah","Al-Khwarizmi: Jurnal Pendidikan Matematika dan Ilmu Pengetahuan Alam 12 (2 …, 2024"
BCBimax Biclustering Algorithm with Mixed-Type Data,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:WZBGuue-350C,2024,"H Izzati, I Indahwati, A Djuraidah","JUITA: Jurnal Informatika 12 (1), 131-139, 2024"
Identifying Factors Affecting Waste Generation in West Java in 2021 Using Spatial Regression,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:kz9GbA2Ns4gC,2024,"A Djuraidah, A Rizki, T Alfan","JTAM (Jurnal Teori dan Aplikasi Matematika) 8 (2), 495-505, 2024"
APPLICATION OF PENALIZED SPLINE-SPATIAL AUTOREGRESSIVE MODEL TO HIV CASE DATA IN INDONESIA,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:zLWjf1WUPmwC,2023,"N Pigitha, A Djuraidah, AH Wigena","BAREKENG: Jurnal Ilmu Matematika dan Terapan 17 (1), 0527-0534, 2023"
Performance of LASSO and elastic-net methods on non-invasive blood glucose measurement calibration modeling,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:EkHepimYqZsC,2023,"F Abqorunnisa, E Erfiani, A Djuraidah","BAREKENG: Jurnal Ilmu Matematika dan Terapan 17 (1), 0037-0042, 2023"
Pemodelan Mixed Geographically Weighted Regression-Spatial Autoregressive (MGWR-SAR) pada Kasus HIV di Indonesia,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:b1wdh0AR-JQC,2023,"A Djuraidah, R Anisa, AR Tarida, MA Aliu, C Septemberini, YPAP Astrini, ...","Jurnal Aplikasi Statistika & Komputasi Statistik 15 (2), 65-76, 2023"
Multiclass Forecasting on Panel Data Using Autoregressive Multinomial Logit and C5. 0 Decision Tree,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:yB1At4FlUx8C,2023,"M Ardiansyah, H Wijayanto, A Kurnia, A Djuraidah","Pakistan Journal of Statistics and Operation Research, 145-154, 2023"
Estimation of Factors Affecting Stunting Cases in West Java in 2021 Using Negative Binomial Spatial Regression,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:TIZ-Mc8IlK0C,2023,"A Djuraidah, M Amelia, R Anisa","Jurnal Matematika, Statistika dan Komputasi 20 (1), 41-51, 2023"
Analisis Data Produk Domestik Regional Bruto Pulau Jawa Menggunakan Pendekatan Regresi Kuantil Spasial,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:KUbvn5osdkgC,2023,"L Usman, A Saefuddin, A Djuraidah","ESTIMASI: Journal of Statistics and Its Application, 153-164, 2023"
"Land Use Change Modelling Using Logistic Regression, Random Forest and Additive Logistic Regression in Kubu Raya Regency, West Kalimantan",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:kuK5TVdYjLIC,2023,"AN Pradana, A Djuraidah, AM Soleh","Forum Geografi 37 (2), 149-163, 2023"
Geo-additive mixed model with variable selection using the adaptive elastic net to handle nonresponse in official rice productivity survey,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:URolC5Kub84C,2023,"M Ardiansyah, H Wijayanto, A Kurnia, A Djuraidah","Spatial Statistics 56, 100761, 2023"
ROBUST STOCHASTIC PRODUCTION FRONTIER TO ESTIMATE TECHNICAL EFFICIENCY OF RICE FARMING IN SULAWESI SELATAN,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:ipzZ9siozwsC,2023,"I Pranata, A Djuraidah, MN Aidi","BAREKENG: Jurnal Ilmu Matematika dan Terapan 17 (1), 0391-0400, 2023"
Spatial regression model on gross regional domestic products in Indonesia with Eigenvector spatial filtering approach,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:VLnqNzywnoUC,2022,"NR Sahputri, A Djuraidah, AM Soleh","AIP Conference Proceedings 2662 (1), 2022"
2D-Multinomial elastic net to classify rice growth phases based on images,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:z_wVstp3MssC,2022,"M Ardiansyah, H Wijayanto, A Kurnia, A Djuraidah","AIP Conference Proceedings 2662 (1), 2022"
"A Bayesian conditional autoregressive with INLA: A case study of tuberculosis in Java, Indonesia",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:-_dYPAW6P2MC,2022,"A Djuraidah, Z Mar’ah, R Anisa","Commun. Math. Biol. Neurosci. 2022, Article ID 102, 2022"
Kajian Perbandingan Rata-rata Umur Panen dan Produktivitas Padi Antar-Provinsi di Indonesia,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:foquWX3nUaYC,2022,"M Ardiansyah, H Wijayanto, A Kurnia, A Djuraidah","Jurnal Penelitian Pertanian Tanaman Pangan 6 (1), 35-40, 2022"
Modeling life expectancy in Papua province using spatial dynamic panel data models,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:j8SEvjWlNXcC,2022,"T Shafira, A Djuraidah, Erfiani","AIP Conference Proceedings 2662 (1), 020024, 2022"
Spatio temporal random effect models for child labor mapping,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:uJ-U7cs_P_0C,2022,"I Wulandari, A Fitrianto, A Djuraidah, IM Sumertajaya","AIP Conference Proceedings 2662 (1), 020037, 2022"
Pemodelan Tingkat Bunuh Diri di Tujuh Belas Negara menggunakan Regresi Data Panel,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:2KloaMYe4IUC,2022,"MA Pramarta, ID Sulvianti, A Djuraidah","Jurnal Riset dan Aplikasi Matematika (JRAM) 6 (1), 80-92, 2022"
Statistical Downscaling Modeling for Monthly Rainfall Estimation using Geographical And Temporal Weighted Gamma Regression,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:fEOibwPWpKIC,2022,"A Kardiana, AH Wigena, A Djuraidah, AM Soleh","Asian J. Math. Computer Res 29 (2), 43-55, 2022"
Handling Outliers in The Stochastic Frontier Model Using Cauchy and Rayleigh Distributions to Measure Technical Efficiency of Rice Farming Bussiness,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:nrtMV_XWKgEC,2022,"R Nurwulan, A Djuraidah, A Fitrianto","Indonesian Journal of Artificial Intelligence and Data Mining 5 (2), 98-110, 2022"
Geographically and temporally weighted regression modeling in statistical downscaling modeling for the estimation of monthly rainfall,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:tKAzc9rXhukC,2022,"A Kardiana, AH Wigena, A Djuraidah, AM Soleh","J. Math. Comput. Sci. 12, Article ID 164, 2022"
The modeling of poverty in Java Island 2012 until 2018 using dynamic spatial panel,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:XD-gHx7UXLsC,2022,"A Nuswantari, A Djuraidah, UD Syafitri","AIP Conference Proceedings 2662 (1), 2022"
Value-at-risk portfolio estimation with copula on selected stocks using variable importance from random forest,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:t7zJ5fGR-2UC,2022,"A Utomo, A Djuraidah, AH Wigena","AIP Conference Proceedings 2662 (1), 2022"
Evaluation of ensemble method for multiclass classification on unbalanced data,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:9Nmd_mFXekcC,2022,"AA Rosita, A Kurnia, A Djuraidah","AIP Conference Proceedings 2662 (1), 2022"
PENENTUAN FAKTOR-FAKTOR YANG MEMPENGARUHI PNEUMONIA BALITA DI JAWA BARAT DENGAN REGRESI SPASIAL,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:1yQoGdGgb4wC,2021,"R Muhammad, A Djuraidah, UD Syafitri","Monograph Penerapan dan Pengembangan Regresi Spasial dengan Studi Kasus pada …, 2021"
Pedoman Statistika Ria dan Festival Sains Data (SATRIA DATA) tahun 2021,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:7T2F9Uy0os0C,2021,"A Djuraidah, ET Astuti, A Efendi, A Abdurakhman, E Widodo, IW Mangku, ...","Pusat Prestasi Nasional, 2021"
A new approach to statistical downscaling using Tweedie compound Poisson gamma response and lasso regularization,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:dQ2og3OwTAUC,2021,"M Hayati, AH Wigena, A Djuraidah, A Kurnia","Commun. Math. Biol. Neurosci. 2021, Article ID 60, 2021"
Spatial clustered regression analysis of 2017 Getis score Indonesian malaria prevalence data,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:5ugPr518TE4C,2021,"S Sukmawati, A Djuraidah, AH Wigena","Journal of Physics: Conference Series 1863 (1), 012043, 2021"
Modeling annual parasite incidence of malaria in Indonesia of 2017 using spatial regime,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:uLbwQdceFCQC,2021,"A Djuraidah, P Silvianti, B Djaafara, SN Laila","Indonesian Journal of Geography 53 (2), 185-191, 2021"
Spatial autoregressive stochastic frontier model with application to Indonesia’s aquaculture,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:XiVPGOgt02cC,2021,"R Zulkarnain, A Djuraidah, IM Sumertajaya","Journal of Physics: Conference Series 1863 (1), 012044, 2021"
Mixed Geographically and Temporally Weighted Autoregressive to Modeling the Levels of Poverty Population in Java in 2012-2018,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:t6usbXjVLHcC,2021,"A Djuraidah, H Djalihu, AM Soleh","Journal of Physics: Conference Series 1863 (1), 012048, 2021"
The spatio-temporal model for the Tweedie compound Poisson gamma response in statistical downscaling,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:_Ybze24A_UAC,2021,"M Hayati, AH Wigena, A Djuraidah, A Kurnia","J. Math. Comput. Sci. 12, Article ID 35, 2021"
PENERAPAN MODEL REGRESI SPASIAL PADA KASUS INFEKSI VIRUS DENGUE DI DKI JAKARTA TAHUN 2014,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:PR6Y55bgFSsC,2021,"ER Febriyanti, A Djuraidah, A Alamudi","Monograph Penerapan dan Pengembangan Regresi Spasial dengan Studi Kasus pada …, 2021"
Dynamic spatial Durbin modeling (case: percentage of poor population in Indonesia 2010-2019),https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:olpn-zPbct0C,2021,"E Sunandi, IM Sumertajaya, A Djuraidah, AH Wigena, A Fitrianto","Journal of Physics: Conference Series 1863 (1), 012046, 2021"
Mixed Geographically and Temporally Weighted Regression Analysis of Percentage of Poverty in Java Island,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:wbdj-CoPYUoC,2021,"A Djuraidah, AH Asianingrum","Journal of Physics: Conference Series 1863 (1), 012047, 2021"
Development of the panel ardl by adding space-time effect to modeling monthly paddy producer price in java,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:1qzjygNMrQYC,2021,"M Ardiansyah, A Djuraidah, IM Sumertajaya, AH Wigena, A Fitrianto","Journal of Physics: Conference Series 1863 (1), 012053, 2021"
Extreme data analysis using spatio-temporal Bayes regression with INLA in statistical downscaling model,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:tkaPQYYpVKoC,2021,"A DJURAIDAH, RN RACHMAWATI, AH WIGENA, IW MANGKU","International Journal of Innovative Computing, Information and Control 17 (1 …, 2021"
Numerical prediction of paddy weight of crop cutting survey using generalized Geoadditive linear mixed model,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:J-pR_7NvFogC,2021,"M Ardiansyah, A Kurnia, K Sadik, A Djuraidah, H Wijayanto","Journal of Physics: Conference Series 1863 (1), 012024, 2021"
Clusterwise regression model for statistical downscaling to predict daily rainfall using gamma distribution,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:bnK-pcrLprsC,2021,"FM Nadhira, AM Soleh, A Djuraidah","Journal of Physics: Conference Series 1863 (1), 012051, 2021"
Topic modelling and hotel rating prediction based on customer review in Indonesia,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:hkOj_22Ku90C,2021,"Y Putranto, B Sartono, A Djuraidah","International Journal of Management and Decision Making 20 (3), 282-307, 2021"
"Monograph penerapan dan pengembangan regresi spasial dengan studi kasus pada kesehatan, sosial, dan ekonomi",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:ZfRJV9d4-WMC,2021,A Djuraidah,"PT Penerbit IPB Press, 2021"
Utilization of Student’ST Distribution To Handle Outliers in Technical Efficiency Measurement,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:Fu2w8maKXqMC,2021,"R Zulkarnain, A Djuraidah, IM Sumertajaya, I Indahwati","MEDIA STATISTIKA 14 (1), 56-67, 2021"
Statistical downscaling modeling with kernel ridge regression for rainfall prediction in West Java,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:LI9QrySNdTsC,2020,"M Ihwal, AH Wigena, A Djuraidah","Int J Sci Res Publ 10, 266-272, 2020"
PENGGEROMBOLAN DERET WAKTU DENGAN PENDEKATAN UKURAN KEMIRIPAN PICCOLO UNTUK PERAMALAN CURAH HUJAN PROVINSI BANTEN,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:D_sINldO8mEC,2020,"S Fadhlia, IM Sumertajaya, A Djuraidah","Indonesian Journal of Statistics and Its Applications 4 (2), 382-391, 2020"
"Kajian simulasi perbandingan metode regresi kuadrat terkecil parsial, support vector machine, dan random forest",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:sSrBHYA8nusC,2020,"AA Fauzi, AM Soleh, A Djuraidah","Indonesian Journal of Statistics and Its Applications 4 (1), 203-215, 2020"
Analisis Regresi Data Panel Pada Indeks Pembangunan Gender (IPG) Jawa Tengah Tahun 2011-2015,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:geHnlv5EZngC,2020,"I Lukiswati, A Djuraidah, UD Syafitri","Indonesian Journal of Statistics and Its Applications 4 (1), 89-96, 2020"
Robust spatial regression model on original local government revenue in Java 2017,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:u9iWguZQMMsC,2020,"WC Mastuti, A Djuraidah, E Erfiani","Indonesian Journal of Statistics and Its Applications 4 (1), 68-79, 2020"
Simulation study for comparison of spatial autoregressive probit estimation methods,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:xtRiw3GOFMkC,2019,"F Novkaniza, A Djuraidah, A Fitrianto, IM Sumertajaya","IOP Conference Series: Earth and Environmental Science 299 (1), 012030, 2019"
Analysis of Geographically and Temporally Weighted Regression (GTWR) GRDP of the Construction Sector in Java Island,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:CHSYGLWDkRkC,2019,"S Haryanto, MN Aidi, A Djuraidah","Forum Geografi 33 (1), 130-139, 2019"
Peramalan curah hujan ekstrim di provinsi banten dengan model ekstrim spasial,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:abG-DnoFyZgC,2019,"A Djuraidah, C Suheni, B Nabila","Media Statistika 12 (1), 50-62, 2019"
Pemodelan Kemiskinan Di Jawa Menggunakan Bayesian Spasial Probit Pendekatan Integrated Nested Laplace Approximation (INLA),https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:4fKUyHm3Qg0C,2019,"RF Maulina, A Djuraidah, A Kurnia","Media Statistika 12 (2), 140-151, 2019"
Outlier handling of robust geographically and temporally weighted regression,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:EUQCXRtRnyEC,2019,"G Erda, A Djuraidah","Journal of Physics: Conference Series 1175 (1), 012041, 2019"
